ID,Date,Time,Temp,humidity,Noise,Light,CO,Volts
105,28/6/2015,19:51:07,32.5,61,41,7,0.53,7.59
105,28/6/2015,19:51:17,32.5,61,41,7,0.53,7.59
105,28/6/2015,19:51:27,32.5,61,39,7,0.53,7.59
105,28/6/2015,19:51:37,32.5,61,40,7,0.53,7.62
105,28/6/2015,19:51:47,32.5,61,41,7,0.53,7.33
105,28/6/2015,19:51:57,32.5,61,42,7,0.53,7.31
105,28/6/2015,19:52:07,32.5,61,41,7,0.53,7.3
105,28/6/2015,19:52:17,32.5,61,41,7,0.53,7.29
105,28/6/2015,19:52:27,32.5,61,39,7,0.53,7.28
105,28/6/2015,19:52:37,32.5,61,39,7,0.53,7.27
105,28/6/2015,19:52:47,32.5,62,40,7,0.53,7.23
105,28/6/2015,19:52:57,32.5,62,41,7,0.53,7.5
105,28/6/2015,19:53:07,32.5,62,40,7,0.53,7.51
105,28/6/2015,19:53:17,32.5,62,40,7,0.53,7.51
105,28/6/2015,19:53:27,32.5,62,40,7,0.53,7.52
105,28/6/2015,19:53:37,32.5,62,43,7,0.53,7.52
105,28/6/2015,19:53:47,32.5,62,41,7,0.53,7.52
105,28/6/2015,19:53:57,32.5,62,40,7,0.53,7.52
105,28/6/2015,19:54:07,32.5,62,40,7,0.53,7.52
105,28/6/2015,19:54:17,32.5,62,40,7,0.53,7.53
105,28/6/2015,19:54:27,32.5,62,46,7,0.33,7.53
105,28/6/2015,19:54:37,32.5,62,40,7,0.33,7.53
105,28/6/2015,19:54:47,32.6,62,45,7,0.33,7.53
105,28/6/2015,19:54:57,32.5,61,42,7,0.33,7.53
105,28/6/2015,19:55:07,32.5,61,44,7,0.33,7.53
105,28/6/2015,19:55:17,32.5,61,42,7,0.33,7.53
105,28/6/2015,19:55:27,32.6,61,41,7,0.33,7.53
105,28/6/2015,19:55:37,32.6,61,40,7,0.33,7.53
105,28/6/2015,19:55:47,32.5,61,40,7,0.33,7.53
105,28/6/2015,19:55:57,32.6,61,40,7,0.33,7.53
105,28/6/2015,19:56:07,32.5,61,40,7,0.33,7.53
105,28/6/2015,19:56:17,32.6,61,42,7,0.33,7.53
105,28/6/2015,19:56:27,32.6,61,41,7,0.33,7.53
105,28/6/2015,19:56:37,32.5,61,43,7,0.33,7.52
105,28/6/2015,19:56:47,32.6,61,40,7,0.33,7.52
105,28/6/2015,19:56:57,32.5,61,40,7,0.33,7.52
105,28/6/2015,19:57:07,32.5,61,41,7,0.33,7.52
105,28/6/2015,19:57:17,32.5,60,38,7,0.33,7.52
105,28/6/2015,19:57:27,32.5,60,41,7,0.33,7.52
105,28/6/2015,19:57:37,32.6,60,39,7,0.33,7.52
105,28/6/2015,19:57:47,32.6,60,42,7,0.33,7.52
105,28/6/2015,19:57:57,32.5,60,42,7,0.33,7.52
105,28/6/2015,19:58:07,32.6,60,39,7,0.33,7.52
105,28/6/2015,19:58:17,32.5,60,39,7,0.33,7.52
105,28/6/2015,19:58:27,32.5,60,39,7,0.33,7.52
105,28/6/2015,19:58:37,32.5,60,40,7,0.33,7.52
105,28/6/2015,19:58:47,32.5,60,42,7,0.33,7.52
105,28/6/2015,19:58:57,32.5,60,39,7,0.33,7.52
105,28/6/2015,19:59:07,32.5,60,41,7,0.33,7.52
105,28/6/2015,19:59:17,32.5,60,40,7,0.33,7.52
105,28/6/2015,19:59:27,32.5,60,40,7,0.33,7.51
105,28/6/2015,19:59:37,32.5,60,42,7,0.33,7.54
105,28/6/2015,19:59:47,32.5,60,40,7,0.33,7.25
105,28/6/2015,19:59:57,32.5,60,40,7,0.33,7.24
105,28/6/2015,20:00:07,32.4,60,39,7,0.33,7.22
105,28/6/2015,20:00:17,32.5,61,39,7,0.33,7.21
105,28/6/2015,20:00:27,32.4,61,42,7,0.33,7.2
105,28/6/2015,20:00:37,32.4,61,40,7,0.33,7.19
105,28/6/2015,20:00:47,32.5,61,40,7,0.33,7.14
105,28/6/2015,20:00:57,32.4,61,42,7,0.33,7.43
105,28/6/2015,20:01:07,32.5,61,41,7,0.33,7.44
105,28/6/2015,20:01:17,32.5,62,39,7,0.33,7.44
105,28/6/2015,20:01:27,32.5,62,40,7,0.33,7.45
105,28/6/2015,20:01:37,32.5,62,40,7,0.33,7.45
105,28/6/2015,20:01:47,32.5,62,41,7,0.33,7.45
105,28/6/2015,20:01:57,32.5,62,40,7,0.33,7.45
105,28/6/2015,20:02:07,32.5,62,40,7,0.33,7.46
105,28/6/2015,20:02:17,32.5,62,39,7,0.33,7.46
105,28/6/2015,20:02:27,32.5,62,42,7,0.24,7.46
105,28/6/2015,20:02:37,32.5,61,43,7,0.24,7.46
105,28/6/2015,20:02:47,32.5,61,42,7,0.24,7.46
105,28/6/2015,20:02:57,32.5,61,42,7,0.24,7.46
105,28/6/2015,20:03:07,32.5,61,41,7,0.24,7.46
105,28/6/2015,20:03:17,32.6,61,39,7,0.24,7.46
105,28/6/2015,20:03:27,32.5,61,43,7,0.24,7.46
105,28/6/2015,20:03:37,32.5,61,44,7,0.24,7.46
105,28/6/2015,20:03:47,32.5,61,42,7,0.24,7.46
105,28/6/2015,20:03:57,32.5,61,42,7,0.24,7.46
105,28/6/2015,20:04:07,32.5,61,45,7,0.24,7.46
105,28/6/2015,20:04:17,32.5,61,40,7,0.24,7.46
105,28/6/2015,20:04:27,32.5,61,42,7,0.24,7.46
105,28/6/2015,20:04:37,32.5,61,40,7,0.24,7.46
105,28/6/2015,20:04:47,32.5,60,39,7,0.24,7.46
105,28/6/2015,20:04:57,32.5,60,40,7,0.24,7.46
105,28/6/2015,20:05:07,32.6,60,39,7,0.24,7.46
105,28/6/2015,20:05:17,32.5,60,41,7,0.24,7.46
105,28/6/2015,20:05:27,32.6,60,41,7,0.24,7.46
105,28/6/2015,20:05:37,32.5,60,41,7,0.24,7.46
105,28/6/2015,20:05:47,32.5,60,42,7,0.24,7.46
105,28/6/2015,20:05:57,32.5,60,41,7,0.24,7.45
105,28/6/2015,20:06:07,32.5,60,42,7,0.24,7.45
105,28/6/2015,20:06:17,32.5,60,39,7,0.24,7.45
105,28/6/2015,20:06:27,32.5,60,40,7,0.24,7.45
105,28/6/2015,20:06:37,32.5,60,41,7,0.24,7.45
105,28/6/2015,20:06:47,32.5,60,41,7,0.24,7.45
105,28/6/2015,20:06:57,32.5,60,41,7,0.24,7.45
105,28/6/2015,20:07:07,32.5,60,39,7,0.24,7.45
105,28/6/2015,20:07:17,32.5,60,40,7,0.24,7.45
105,28/6/2015,20:07:27,32.5,60,42,7,0.24,7.45
105,28/6/2015,20:07:37,32.5,60,40,7,0.24,7.48
105,28/6/2015,20:07:47,32.4,60,40,7,0.24,7.19
105,28/6/2015,20:07:57,32.4,60,40,7,0.24,7.17
